"SchoolYear","Column1","ESD","County","CountyDistrictNumber","District","GradeTested","EthnicityGender","WAASReadingTotalTestedNotTested","WAASReadingTotalTested","WAASReadingMetStandard","WAASReadingPercentMetStandard","WAASReadingPercentMetStandardExcludingNoScore","WAASReadingLevel1","WAASReadingPercentLevel1","WAASReadingLevel2","WAASReadingPercentLevel2","WAASReadingLevel3","WAASReadingPercentLevel3","WAASReadingLevel4","WAASReadingPercentLevel4","WAASReadingNoScore","WAASReadingPercentNoScore","WAASReadingNotMet","WAASReadingPercentNotMet","WAASReadingWAAS","WAASReadingPercentWAAS","WAASMathTotalTestedNotTested","WAASMathTotalTested","WAASMathMetStandard","WAASMathPercentMetStandard","WAASMathPercentMetStandardExcludingNoScore","WAASMathLevel1","WAASMathPercentLevel1","WAASMathLevel2","WAASMathPercentLevel2","WAASMathLevel3","WAASMathPercentLevel3","WAASMathLevel4","WAASMathPercentLevel4","WAASMathNoScore","WAASMathPercentNoScore","WAASMathNotMet","WAASMathPercentNotMet","WAASMathWAAS","WAASMathPercentWAAS","WAASWritingTotalTestedNotTested","WAASWritingTotalTested","WAASWritingMetStandard","WAASWritingPercentMetStandard","WAASWritingPercentMetStandardExcludingNoScore","WAASWritingLevel1","WAASWritingPercentLevel1","WAASWritingLevel2","WAASWritingPercentLevel2","WAASWritingLevel3","WAASWritingPercentLevel3","WAASWritingLevel4","WAASWritingPercentLevel4","WAASWritingNoScore","WAASWritingPercentNoScore","WAASWritingNotMet","WAASWritingPercentNotMet","WAASWritingWAAS","WAASWritingPercentWAAS","WAASScienceTotalTestedNotTested","WAASScienceTotalTested","WAASScienceMetStandard","WAASSciencePercentMetStandard","WAASSciencePercentMetStandardExcludingNoScore","WAASScienceLevel1","WAASSciencePercentLevel1","WAASScienceLevel2","WAASSciencePercentLevel2","WAASScienceLevel3","WAASSciencePercentLevel3","WAASScienceLevel4","WAASSciencePercentLevel4","WAASScienceNoScore","WAASSciencePercentNoScore","WAASScienceNotMet","WAASSciencePercentNotMet","WAASScienceWAAS","WAASSciencePercentWAAS"
"2012-13",257,"Educational Service District 113","Thurston","34003","North Thurston Public Schools",6,"ALL",8,0,,,,,,,,,,,,,,,,,0,8,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",257,"Educational Service District 113","Thurston","34003","North Thurston Public Schools",7,"ALL",7,0,,,,,,,,,,,,,,,,,0,7,0,,,,,,,,,,,,,,,,,0,7,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,
"2012-13",257,"Educational Service District 113","Thurston","34003","North Thurston Public Schools",8,"ALL",7,0,,,,,,,,,,,,,,,,,0,7,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,,0
"2012-13",257,"Educational Service District 113","Thurston","34003","North Thurston Public Schools",10,"ALL",12,0,,,,,,,,,,,,,,,,,0,12,0,,,,,,,,,,,,,,,,,0,12,0,,,,,,,,,,,,,,,,,0,12,0,,,,,,,,,,,,,,,,,0
"2012-13",254,"Educational Service District 101","Stevens","33211","Northport School District",3,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",254,"Educational Service District 101","Stevens","33211","Northport School District",4,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",254,"Educational Service District 101","Stevens","33211","Northport School District",5,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",254,"Educational Service District 101","Stevens","33211","Northport School District",6,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",254,"Educational Service District 101","Stevens","33211","Northport School District",7,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",254,"Educational Service District 101","Stevens","33211","Northport School District",8,"ALL",1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,0
"2012-13",254,"Educational Service District 101","Stevens","33211","Northport School District",10,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",118,"Puget Sound Educational Service District 121","King","17417","Northshore School District",3,"ALL",11,10,10,90.9,100,0,0,0,0,4,36.29,6,54.5,1,9,1,9,,0,11,10,10,90.9,100,0,0,0,0,6,54.5,4,36.29,1,9,1,9,,0,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",118,"Puget Sound Educational Service District 121","King","17417","Northshore School District",4,"ALL",14,13,13,92.79,100,0,0,0,0,4,28.5,9,64.2,1,7.09,1,7.09,,0,14,13,13,92.79,100,0,0,0,0,2,14.19,11,78.5,1,7.09,1,7.09,,0,14,13,13,92.79,100,0,0,0,0,1,7.09,12,85.7,1,7.09,1,7.09,,0,,0,,,,,,,,,,,,,,,,,
"2012-13",118,"Puget Sound Educational Service District 121","King","17417","Northshore School District",5,"ALL",11,0,,,,,,,,,,,,,,,,,0,11,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,11,0,,,,,,,,,,,,,,,,,0
"2012-13",118,"Puget Sound Educational Service District 121","King","17417","Northshore School District",6,"ALL",11,10,10,90.9,100,0,0,0,0,3,27.19,7,63.6,1,9,1,9,,0,11,10,10,90.9,100,0,0,0,0,3,27.19,7,63.6,1,9,1,9,,0,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
