district,school.year,total.revenue,total.revenue.per.pupil,local.revenue.per.pupil,local.percent.total.revenue,state.revenue.per.pupil,state.percent.total.revenue,federal.revenue.per.pupil,federal.percent.total.revenue,other.revenue.per.pupil,other.percent.total.revenue
Manson School District,2012-13,7204709,11235.06,2020.69,18,7481.83,66.6,1652.70,14.7,79.84,0.7
Mary M Knight School District,2012-13,2807687,14875.95,3283.18,22.1,10368.01,69.7,1224.76,8.2,0.00,-
Mary Walker School District,2012-13,5933487,10694.82,801.05,7.5,8264.05,77.3,1531.81,14.3,97.92,0.9
Marysville School District,2012-13,112542828,10279.35,2374.31,23.1,6766.88,65.8,914.57,8.9,223.58,2.2
McCleary School District,2012-13,3136366,10824.39,2449.55,22.6,7098.39,65.6,1276.44,11.8,0.00,-
Mead School District,2012-13,83643787,9058.46,2044.79,22.6,6495.09,71.7,514.20,5.7,4.38,0
Medical Lake School District,2012-13,17669208,9733.06,752.62,7.7,7150.31,73.5,1828.14,18.8,2.00,0
Mercer Island School District,2012-13,43378281,10451.67,4110.03,39.3,5914.16,56.6,349.21,3.3,78.27,0.7
Meridian School District,2012-13,17721648,7823.19,1588.85,20.3,5700.18,72.9,475.34,6.1,58.82,0.8
Methow Valley School District,2012-13,6548169,11771.99,3484.67,29.6,7175.12,61,711.03,6,401.17,3.4
Mill A School District,2012-13,628459,23626.27,697.63,3,17556.67,74.3,4114.73,17.4,1257.24,5.3
Monroe School District,2012-13,63435507,8945.51,2306.10,25.8,6224.49,69.6,405.37,4.5,9.55,0.1
Montesano School District,2012-13,11585206,9378.61,2138.92,22.8,6514.94,69.5,687.50,7.3,37.25,0.4
Morton School District,2012-13,4110690,14033.01,2610.57,18.6,8381.13,59.7,3041.31,21.7,0.00,-
Moses Lake School District,2012-13,72219395,9348.44,1766.58,18.9,6610.75,70.7,930.31,10,40.80,0.4
Mossyrock School District,2012-13,5267555,10178.06,1825.45,17.9,7275.18,71.5,1067.83,10.5,9.60,0.1
Mount Adams School District,2012-13,12347507,12747.92,306.86,2.4,7342.90,57.6,4732.78,37.1,365.39,2.9
Mount Baker School District,2012-13,20540246,11173.20,2822.80,25.3,6938.11,62.1,1170.92,10.5,241.37,2.2
