district,school.year,total.revenue,total.revenue.per.pupil,local.revenue.per.pupil,local.percent.total.revenue,state.revenue.per.pupil,state.percent.total.revenue,federal.revenue.per.pupil,federal.percent.total.revenue,other.revenue.per.pupil,other.percent.total.revenue
Wapato School District,2012-13,33155047,9689.02,226.66,2.3,6932.36,71.5,2511.03,25.9,18.96,0.2
Warden School District,2012-13,9838354,10145.25,1311.45,12.9,7372.58,72.7,1456.52,14.4,4.71,0
Washougal School District,2012-13,27631679,9334.08,2012.74,21.6,6475.53,69.4,820.13,8.8,25.68,0.3
Washtucna School District,2012-13,1983478,29612.99,2759.72,9.3,25686.96,86.7,1166.31,3.9,0.00,-
Waterville School District,2012-13,3859411,14501.98,2993.43,20.6,9639.87,66.5,627.43,4.3,1241.25,8.6
Wellpinit School District,2012-13,6356177,12039.81,163.86,1.4,6131.65,50.9,5730.76,47.6,13.54,0.1
Wenatchee School District,2012-13,72568025,9292.36,1596.42,17.2,6566.12,70.7,1102.18,11.9,27.64,0.3
West Valley School District (Spokane),2012-13,36971607,9963.06,2150.86,21.6,6480.86,65,772.43,7.8,558.89,5.6
West Valley School District (Yakima),2012-13,42469760,8936.54,1777.57,19.9,6491.92,72.6,655.39,7.3,11.66,0.1
White Pass School District,2012-13,5027002,12642.73,2911.21,23,7694.35,60.9,1851.04,14.6,186.13,1.5
White River School District,2012-13,34916551,9778.36,2661.87,27.2,6517.05,66.6,541.14,5.5,58.29,0.6
White Salmon Valley School District,2012-13,12516063,10221.20,2408.88,23.6,6937.84,67.9,798.04,7.8,76.44,0.7
Wilbur School District,2012-13,3586468,13615.02,2373.02,17.4,9786.96,71.9,1327.86,9.8,127.17,0.9
Willapa Valley School District,2012-13,4338791,13559.14,2685.93,19.8,9695.59,71.5,963.45,7.1,214.18,1.6
Wilson Creek School District,2012-13,2570341,18074.26,2129.29,11.8,14686.57,81.3,984.28,5.4,274.14,1.5
Winlock School District,2012-13,6785212,10103.36,1162.64,11.5,7672.20,75.9,1232.55,12.2,35.97,0.4
Wishkah Valley School District,2012-13,1927522,13671.34,7509.92,54.9,5452.16,39.9,709.26,5.2,0.00,-
Wishram School District,2012-13,1875036,22802.34,244.48,1.1,19411.71,85.1,1618.90,7.1,1527.24,6.7
Woodland School District,2012-13,21633444,10220.99,1728.08,16.9,7095.46,69.4,696.77,6.8,700.67,6.9
Yakima School District,2012-13,156520371,10068.77,976.09,9.7,7423.42,73.7,1638.66,16.3,30.60,0.3
Yelm School District,2012-13,48782033,9197.04,1938.04,21.1,6517.08,70.9,739.02,8,2.91,0
Zillah School District,2012-13,10928322,8682.50,852.13,9.8,6875.03,79.2,955.34,11,0.00,-
