"SchoolYear","ESD","CountyNumber","County","CountyDistrictNumber","District","GradeTested","AlgebraTotalTestedNotTested","Algebra1TotalTested","Algebra1MetStandardIncludingPrevPass","Algebra1PercentMetStandardIncludingPrevPass","Algebra1MetStandardWithoutPrevPass","Algebra1PercentMetStandardWithoutPrevPass","Algebra1PercentMetStandardExcludingNoScore","Algebra1Level1","Algebra1PercentLevel1","Algebra1Level2","Algebra1PercentLevel2","Algebra1LevelBasic","Algebra1PercentLevelBasic","Algebra1Level3","Algebra1PercentLevel3","Algebra1Level4","Algebra1PercentLevel4","Algebra1NoScore","Algebra1PercentNoScore","Algebra1NotMet","Algebra1PercentNotMet","Algebra1ExcusedAbsence","Algebra1Exempted","Integrated1TotalTestedNotTested","Integrated1TotalTested","Integrated1MetStandardIncludingPrevPass","Integrated1PercentMetStandardIncludingPrevPass","Integrated1MetStandardWithoutPrevPass","Integrated1PercentMetStandardWithoutPrevPass","Integrated1PercentMetStandardExcludingNoScore","Integrated1Level1","Integrated1PercentLevel1","Integrated1Level2","Integrated1PercentLevel2","Integrated1LevelBasic","Integrated1PercentLevelBasic","Integrated1Level3","Integrated1PercentLevel3","Integrated1Level4","Integrated1PercentLevel4","Integrated1NoScore","Integrated1PercentNoScore","Integrated1NotMet","Integrated1PercentNotMet","Integrated1ExcusedAbsence","Integrated1Exempted","Retake1TotalTestedNotTested","Retake1TotalTested","Retake1MetStandardIncludingPrevPass","Retake1PercentMetStandardIncludingPrevPass","Retake1MetStandardWithoutPrevPass","Retake1PercentMetStandardWithoutPrevPass","Retake1PercentMetStandardExcludingNoScore","Retake1Level1","Retake1PercentLevel1","Retake1Level2","Retake1PercentLevel2","Retake1LevelBasic","Retake1PercentLevelBasic","Retake1Level3","Retake1PercentLevel3","Retake1Level4","Retake1PercentLevel4","Retake1NoScore","Retake1PercentNoScore","Retake1NotMet","Retake1PercentNotMet","Retake1ExcusedAbsence","Retake1Exempted","AllEOCMathYear1TotalTestedNotTested","AllEOCMathYear1TotalTested","AllEOCMathYear1MetStandardIncludingPrevPass","AllEOCMathYear1PercentMetStandardIncludingPrevPass","AllEOCMathYear1MetStandardWithoutPrevPass","AllEOCMathYear1PercentMetStandardWithoutPrevPass","AllEOCMathYear1PercentMetStandardExcludingNoScore","AllEOCMathYear1Level1","AllEOCMathYear1PercentLevel1","AllEOCMathYear1Level2","AllEOCMathYear1PercentLevel2","AllEOCMathYear1LevelBasic","AllEOCMathYear1PercentLevelBasic","AllEOCMathYear1Level3","AllEOCMathYear1PercentLevel3","AllEOCMathYear1Level4","AllEOCMathYear1PercentLevel4","AllEOCMathYear1NoScore","AllEOCMathYear1PercentNoScore","AllEOCMathYear1NotMet","AllEOCMathYear1PercentNotMet","AllEOCMathYear1ExcusedAbsence","AllEOCMathYear1Exempted","GeometryTotalTestedNotTested","GeometryTotalTested","GeometryMetStandardIncludingPrevPass","GeometryPercentMetStandardIncludingPrevPass","GeometryMetStandardWithoutPrevPass","GeometryPercentMetStandardWithoutPrevPass","GeometryPercentMetStandardExcludingNoScore","GeometryLevel1","GeometryPercentLevel1","GeometryLevel2","GeometryPercentLevel2","GeometryLevelBasic","GeometryPercentLevelBasic","GeometryLevel3","GeometryPercentLevel3","GeometryLevel4","GeometryPercentLevel4","GeometryNoScore","GeometryPercentNoScore","GeometryNotMet","GeometryPercentNotMet","GeometryExcusedAbsence","GeometryExempted","Integrated2TotalTestedNotTested","Integrated2TotalTested","Integrated2MetStandardIncludingPrevPass","Integrated2PercentMetStandardIncludingPrevPass","Integrated2MetStandardWithoutPrevPass","Integrated2PercentMetStandardWithoutPrevPass","Integrated2PercentMetStandardExcludingNoScore","Integrated2Level1","Integrated2PercentLevel1","Integrated2Level2","Integrated2PercentLevel2","Integrated2LevelBasic","Integrated2PercentLevelBasic","Integrated2Level3","Integrated2PercentLevel3","Integrated2Level4","Integrated2PercentLevel4","Integrated2NoScore","Integrated2PercentNoScore","Integrated2NotMet","Integrated2PercentNotMet","Integrated2ExcusedAbsence","Integrated2Exempted","Retake2TotalTestedNotTested","Retake2TotalTested","Retake2MetStandardIncludingPrevPass","Retake2PercentMetStandardIncludingPrevPass","Retake2MetStandardWithoutPrevPass","Retake2PercentMetStandardWithoutPrevPass","Retake2PercentMetStandardExcludingNoScore","Retake2Level1","Retake2PercentLevel1","Retake2Level2","Retake2PercentLevel2","Retake2LevelBasic","Retake2PercentLevelBasic","Retake2Level3","Retake2PercentLevel3","Retake2Level4","Retake2PercentLevel4","Retake2NoScore","Retake2PercentNoScore","Retake2NotMet","Retake2PercentNotMet","Retake2ExcusedAbsence","Retake2Exempted","AllEOCMathYear2TotalTestedNotTested","AllEOCMathYear2TotalTested","AllEOCMathYear2MetStandardIncludingPrevPass","AllEOCMathYear2PercentMetStandardIncludingPrevPass","AllEOCMathYear2MetStandardWithoutPrevPass","AllEOCMathYear2PercentMetStandardWithoutPrevPass","AllEOCMathYear2PercentMetStandardExcludingNoScore","AllEOCMathYear2Level1","AllEOCMathYear2PercentLevel1","AllEOCMathYear2Level2","AllEOCMathYear2PercentLevel2","AllEOCMathYear2LevelBasic","AllEOCMathYear2PercentLevelBasic","AllEOCMathYear2Level3","AllEOCMathYear2PercentLevel3","AllEOCMathYear2Level4","AllEOCMathYear2PercentLevel4","AllEOCMathYear2NoScore","AllEOCMathYear2PercentNoScore","AllEOCMathYear2NotMet","AllEOCMathYear2PercentNotMet","AllEOCMathYear2ExcusedAbsence","AllEOCMathYear2Exempted","BiologyTotalTestedNotTested","BiologyTotalTested","BiologyMetStandardIncludingPrevPass","BiologyPercentMetStandardIncludingPrevPass","BiologyMetStandardWithoutPrevPass","BiologyPercentMetStandardWithoutPrevPass","BiologyPercentMetStandardExcludingNoScore","BiologyLevel1","BiologyPercentLevel1","BiologyLevel2","BiologyPercentLevel2","BiologyLevelBasic","BiologyPercentLevelBasic","BiologyLevel3","BiologyPercentLevel3","BiologyLevel4","BiologyPercentLevel4","BiologyNoScore","BiologyPercentNoScore","BiologyNotMet","BiologyPercentNotMet","BiologyExcusedAbsence","BiologyExempted"
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","7&Lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","8",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","9",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","10",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","11",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","12",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","All",12,12,9,75,9,75,75,0,0,3,25,1,8.3,6,50,2,16.6,0,0,3,25,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,9,75,9,75,75,0,0,3,25,1,8.3,6,50,2,16.6,0,0,3,25,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01122","Benge School District","7&Lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01122","Benge School District","All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","7&Lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","8",113,113,101,89.29,101,89.29,89.4,2,1.7,10,8.8,0,0,64,56.6,37,32.7,0,0,12,10.59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,113,101,89.29,101,89.29,89.4,2,1.7,10,8.8,0,0,64,56.6,37,32.7,0,0,12,10.59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","9",134,134,42,31.3,42,31.3,31.3,42,31.3,50,37.29,0,0,40,29.8,2,1.39,0,0,92,68.59,0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,134,42,31.3,42,31.3,31.3,42,31.3,50,37.29,0,0,40,29.8,2,1.39,0,0,92,68.59,0,107,107,107,95,88.7,95,88.7,88.8,2,1.8,10,9.3,0,0,51,47.6,44,41.1,0,0,12,11.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107,95,88.7,95,88.7,88.8,2,1.8,10,9.3,0,0,51,47.6,44,41.1,0,0,12,11.19,0,0,7,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","10",100,97,159,64.1,11,11,11.3,57,56.89,29,28.89,0,0,11,11,0,0,3,3,89,89,4,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,97,159,64.1,11,11,11.3,57,56.89,29,28.89,0,0,11,11,0,0,3,3,89,89,4,170,145,145,143,67.4,76,52.39,52.4,26,17.89,43,29.6,3,2,60,41.29,13,8.9,0,0,69,47.5,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,145,143,67.4,76,52.39,52.4,26,17.89,43,29.6,3,2,60,41.29,13,8.9,0,0,69,47.5,0,67,239,234,129,53,125,52.29,53.4,20,8.3,89,37.2,8,3.29,74,30.89,43,17.89,5,2,114,47.6,10,26
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","11",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,11,11,1,9,1,9,9.1,6,54.5,4,36.29,0,0,1,9,0,0,0,0,10,90.9,13,80
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","12",15,15,5,33.29,5,33.29,33.3,8,53.29,2,13.3,0,0,5,33.29,0,0,0,0,10,66.59,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,5,33.29,5,33.29,33.3,8,53.29,2,13.3,0,0,5,33.29,0,0,0,0,10,66.59,0,112,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","All",407,404,161,39.5,161,39.5,39.9,126,30.89,117,28.69,0,0,122,29.89,39,9.5,3,0.7,246,60.39,4,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,404,161,39.5,161,39.5,39.9,126,30.89,117,28.69,0,0,122,29.89,39,9.5,3,0.7,246,60.39,4,449,281,281,176,62.6,176,62.6,62.6,43,15.3,62,22,3,1,115,40.89,58,20.6,0,0,105,37.29,0,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,281,176,62.6,176,62.6,62.6,43,15.3,62,22,3,1,115,40.89,58,20.6,0,0,105,37.29,0,230,260,255,128,49.2,128,49.2,50.2,30,11.5,97,37.29,8,3,76,29.19,44,16.89,5,1.89,132,50.7,29,111
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District","7&Lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District","8",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District","9",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District","10",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District","All",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,13,13,11,84.59,11,84.59,84.6,0,0,2,15.3,0,0,4,30.69,7,53.79,0,0,2,15.3,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,11,84.59,11,84.59,84.6,0,0,2,15.3,0,0,4,30.69,7,53.79,0,0,2,15.3,0,14,11,10,7,63.6,7,63.6,70,0,0,3,27.19,0,0,4,36.29,3,27.19,1,9,4,36.29,0,6
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District","7&Lower",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District","8",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District","9",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District","10",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,26,25,22,78.5,20,76.9,80,1,3.79,4,15.3,0,0,7,26.89,13,50,1,3.79,6,23,0,4
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District","All",23,23,17,73.9,17,73.9,73.9,2,8.59,4,17.3,0,0,14,60.79,3,13,0,0,6,26,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,17,73.9,17,73.9,73.9,2,8.59,4,17.3,0,0,14,60.79,3,13,0,0,6,26,2,75,6,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,14,93.29,14,93.29,93.3,1,6.59,0,0,0,0,6,40,8,53.29,0,0,1,6.59,0,30,26,25,20,76.9,20,76.9,80,1,3.79,4,15.3,0,0,7,26.89,13,50,1,3.79,6,23,1,20
"2012-13","Educational Service District 123","02","Asotin","02250","Clarkston School District","7&Lower",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","02","Asotin","02250","Clarkston School District","8",77,77,72,93.5,72,93.5,93.5,1,1.19,4,5.09,0,0,31,40.2,41,53.2,0,0,5,6.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77,72,93.5,72,93.5,93.5,1,1.19,4,5.09,0,0,31,40.2,41,53.2,0,0,5,6.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","02","Asotin","02250","Clarkston School District","9",106,106,64,60.29,64,60.29,60.4,15,14.09,27,25.39,3,2.79,40,37.7,21,19.8,0,0,42,39.6,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,106,64,60.29,64,60.29,60.4,15,14.09,27,25.39,3,2.79,40,37.7,21,19.8,0,0,42,39.6,0,63,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","02","Asotin","02250","Clarkston School District","10",58,53,130,71.8,7,12,13.2,37,63.7,9,15.5,1,1.7,6,10.3,0,0,5,8.59,51,87.9,4,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,53,130,71.8,7,12,13.2,37,63.7,9,15.5,1,1.7,6,10.3,0,0,5,8.59,51,87.9,4,131,81,81,105,86,64,79,79,4,4.9,13,16,0,0,39,48.1,25,30.8,0,0,17,20.89,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,105,86,64,79,79,4,4.9,13,16,0,0,39,48.1,25,30.8,0,0,17,20.89,0,41,193,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","02","Asotin","02250","Clarkston School District","11",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","02","Asotin","02250","Clarkston School District","12",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","02","Asotin","02250","Clarkston School District","All",260,255,146,56.1,146,56.1,57.3,60,23,49,18.8,4,1.5,78,30,64,24.6,5,1.89,114,43.79,4,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,255,146,56.1,146,56.1,57.3,60,23,49,18.8,4,1.5,78,30,64,24.6,5,1.89,114,43.79,4,392,148,148,126,85.09,126,85.09,85.1,7,4.7,15,10.09,0,0,48,32.39,78,52.7,0,0,22,14.8,0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148,126,85.09,126,85.09,85.1,7,4.7,15,10.09,0,0,48,32.39,78,52.7,0,0,22,14.8,0,133,200,188,128,64,128,64,68.1,15,7.5,45,22.5,15,7.5,69,34.5,44,22,12,6,72,36,3,112
"2012-13","Educational Service District 123","02","Asotin","02420","Asotin-Anatone School District","7&Lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
